2022-09-22 20:03:13,446 server_msg:302, [0 0], [0.9914187 0.8898588], [[ 64 172  56 159]
 [ 92 251   1   1]]
2022-09-22 20:03:13,696 server_msg:303, [0 0], [0.9926787 0.8635216], [[ 66 166  53 165]
 [ 92 249   1   1]]
2022-09-22 20:03:13,967 server_msg:304, [0 0], [0.9933091 0.8255732], [[ 66 168  54 165]
 [ 93 250   1   1]]
2022-09-22 20:03:14,211 server_msg:305, [0 0], [0.9896887 0.7190347], [[ 65 165  56 170]
 [ 93 250   1   1]]
2022-09-22 20:03:14,455 server_msg:306, [0 0], [0.9908511  0.73742545], [[ 63 161  60 179]
 [ 93 250   1   1]]
2022-09-22 20:03:14,667 server_msg:307, [0 0], [0.98994344 0.68728286], [[ 65 160  59 176]
 [ 93 249   1   1]]
2022-09-22 20:03:14,894 server_msg:308, [0], [0.98805106], [[ 64 157  61 178]]
2022-09-22 20:03:15,111 server_msg:309, [0], [0.97906715], [[ 64 157  62 181]]
2022-09-22 20:03:15,321 server_msg:310, [0], [0.98187983], [[ 65 158  65 178]]
2022-09-22 20:03:15,530 server_msg:311, [0], [0.9825661], [[ 62 158  70 177]]
2022-09-22 20:03:15,739 server_msg:312, [0], [0.988269], [[ 60 154  76 178]]
2022-09-22 20:03:15,938 server_msg:313, [0], [0.99329305], [[ 60 145  76 191]]
2022-09-22 20:03:16,142 server_msg:314, [0], [0.9943364], [[ 60 144  81 191]]
2022-09-22 20:03:16,344 server_msg:315, [0], [0.9946318], [[ 60 142  78 196]]
2022-09-22 20:03:16,546 server_msg:316, [0], [0.994878], [[ 59 141  81 201]]
2022-09-22 20:03:16,742 server_msg:317, [0], [0.9976689], [[ 57 156  93 171]]
2022-09-22 20:03:16,969 server_msg:318, [0], [0.99612933], [[ 58 142  84 204]]
2022-09-22 20:03:17,208 server_msg:319, [0], [0.99670804], [[ 58 138  86 210]]
2022-09-22 20:03:17,440 server_msg:320, [0], [0.9968984], [[ 58 143  86 205]]
2022-09-22 20:03:17,669 server_msg:321, [0], [0.9973396], [[ 58 142  86 207]]
2022-09-22 20:03:17,886 server_msg:322, [0], [0.99791753], [[ 59 142  87 210]]
2022-09-22 20:03:18,115 server_msg:323, [0], [0.99752665], [[ 57 143  90 209]]
2022-09-22 20:03:18,351 server_msg:324, [0], [0.9981308], [[ 57 139  91 214]]
2022-09-22 20:03:18,638 server_msg:325, [0], [0.9987539], [[ 63 145  89 203]]
2022-09-22 20:03:18,879 server_msg:326, [0], [0.99899524], [[ 62 143  91 207]]
2022-09-22 20:03:19,117 server_msg:327, [0], [0.9989788], [[ 62 139  93 214]]
2022-09-22 20:03:19,322 server_msg:328, [0], [0.9990255], [[ 63 133  93 227]]
2022-09-22 20:03:19,570 server_msg:329, [0], [0.99896795], [[ 60 142  99 210]]
2022-09-22 20:03:19,776 server_msg:330, [0], [0.9992039], [[ 62 134  95 227]]
2022-09-22 20:03:19,989 server_msg:331, [0], [0.9994929], [[ 60 124  98 239]]
2022-09-22 20:03:20,236 server_msg:332, [0], [0.99960566], [[ 63 121  97 247]]
2022-09-22 20:03:20,451 server_msg:333, [0], [0.999433], [[ 61 126 101 238]]
2022-09-22 20:03:20,686 server_msg:334, [0], [0.999493], [[ 60 119 103 249]]
2022-09-22 20:03:20,901 server_msg:335, [0], [0.99928236], [[ 59 118 107 250]]
2022-09-22 20:03:21,124 server_msg:336, [0], [0.99931896], [[ 59 116 106 255]]
2022-09-22 20:03:21,350 server_msg:337, [0], [0.9993463], [[ 63 116 103 256]]
2022-09-22 20:03:21,567 server_msg:338, [0], [0.99935037], [[ 63 110 105 266]]
2022-09-22 20:03:21,797 server_msg:339, [0], [0.999205], [[ 61 114 110 260]]
2022-09-22 20:03:21,999 server_msg:340, [0], [0.999083], [[ 62 110 109 270]]
2022-09-22 20:03:22,205 server_msg:341, [0], [0.99936235], [[ 63 105 108 276]]
2022-09-22 20:03:22,414 server_msg:342, [0], [0.99916095], [[ 63 106 110 276]]
2022-09-22 20:03:22,602 server_msg:343, [0], [0.99904585], [[ 60 107 114 276]]
2022-09-22 20:03:22,812 server_msg:344, [0], [0.9992037], [[ 61 114 118 262]]
2022-09-22 20:03:23,050 server_msg:345, [0], [0.999271], [[ 61 106 115 278]]
2022-09-22 20:03:23,323 server_msg:346, [0], [0.99915916], [[ 61 110 113 273]]
